City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
lasa,cn,"04/19/2020, 10:59:36",46.62,10.7,55.4,62,75,5.82,broken clouds,0.0,0.0
kapaa,us,"04/19/2020, 11:03:13",22.08,-159.32,71.01,83,40,5.82,scattered clouds,0.0,0.0
ushuaia,ar,"04/19/2020, 11:03:16",-54.8,-68.3,44.6,75,75,19.46,drizzle,0.0,0.0
albany,au,"04/19/2020, 11:03:26",42.6,-73.97,61.0,23,1,8.01,clear sky,0.0,0.0
mayo,ca,"04/19/2020, 11:04:34",38.89,-76.51,62.01,41,1,16.11,clear sky,0.0,0.0
saskylakh,ru,"04/19/2020, 11:04:35",71.92,114.08,15.55,93,0,7.4,clear sky,0.0,0.0
ribeira grande,pt,"04/19/2020, 11:04:35",38.52,-28.7,60.8,59,20,21.92,few clouds,0.0,0.0
mataura,pf,"04/19/2020, 11:03:18",-46.19,168.86,44.01,83,93,5.01,light rain,0.54,0.0
salalah,om,"04/19/2020, 10:59:46",17.02,54.09,82.4,74,20,5.82,few clouds,0.0,0.0
kungurtug,ru,"04/19/2020, 11:04:36",50.6,97.52,30.29,51,0,0.4,clear sky,0.0,0.0
albany,au,"04/19/2020, 11:03:26",42.6,-73.97,61.0,23,1,8.01,clear sky,0.0,0.0
mahebourg,mu,"04/19/2020, 11:04:37",-20.41,57.7,77.0,78,40,11.41,scattered clouds,0.0,0.0
katobu,id,"04/19/2020, 11:04:37",-4.94,122.53,75.4,85,93,1.83,overcast clouds,0.0,0.0
airai,pw,"04/19/2020, 11:04:37",-8.93,125.41,60.22,61,15,2.1,few clouds,0.0,0.0
bluff,nz,"04/19/2020, 11:03:26",-46.6,168.33,44.01,83,97,5.01,light rain,1.66,0.0
new norfolk,au,"04/19/2020, 11:04:38",-42.78,147.06,48.0,84,100,4.12,overcast clouds,0.0,0.0
moissala,td,"04/19/2020, 11:04:38",8.34,17.77,89.1,30,62,4.7,broken clouds,0.0,0.0
butaritari,ki,"04/19/2020, 11:04:38",3.07,172.79,83.07,75,14,12.5,light rain,1.53,0.0
coihaique,cl,"04/19/2020, 11:04:39",-45.58,-72.07,46.4,81,90,5.82,light rain,0.0,0.0
shimoda,jp,"04/19/2020, 11:04:39",34.67,138.95,53.01,89,100,1.99,overcast clouds,0.0,0.0
kununurra,au,"04/19/2020, 10:59:48",-15.77,128.73,75.2,88,48,4.7,scattered clouds,0.0,0.0
marsh harbour,bs,"04/19/2020, 11:00:27",26.54,-77.06,81.25,74,20,13.56,few clouds,0.0,0.0
bosaso,so,"04/19/2020, 11:04:40",11.28,49.18,83.91,71,99,4.68,overcast clouds,0.0,0.0
vaini,to,"04/19/2020, 11:03:09",-21.2,-175.2,77.0,83,20,9.17,few clouds,0.0,0.0
ponta do sol,cv,"04/19/2020, 11:03:12",32.67,-17.1,66.99,44,24,3.0,few clouds,0.0,0.0
goderich,sl,"04/19/2020, 11:05:48",43.75,-81.72,39.0,86,98,15.59,light rain,0.64,0.0
bluff,nz,"04/19/2020, 11:03:26",-46.6,168.33,44.01,83,97,5.01,light rain,1.66,0.0
cherskiy,ru,"04/19/2020, 11:05:49",68.75,161.3,-0.9,93,99,6.55,overcast clouds,0.0,0.0
ostrovnoy,ru,"04/19/2020, 11:04:00",68.05,39.51,30.65,95,97,10.69,light snow,0.0,0.35
bluff,nz,"04/19/2020, 11:03:26",-46.6,168.33,44.01,83,97,5.01,light rain,1.66,0.0
axim,gh,"04/19/2020, 11:05:49",4.87,-2.24,83.46,75,68,9.35,broken clouds,0.0,0.0
castro,cl,"04/19/2020, 11:05:50",-24.79,-50.01,73.99,34,2,2.82,clear sky,0.0,0.0
narsaq,gl,"04/19/2020, 11:05:50",60.92,-46.05,32.0,87,20,4.7,few clouds,0.0,0.0
albany,au,"04/19/2020, 11:03:26",42.6,-73.97,61.0,23,1,8.01,clear sky,0.0,0.0
iskateley,ru,"04/19/2020, 11:05:50",67.68,53.15,31.33,98,100,2.28,light snow,0.0,0.12
rikitea,pf,"04/19/2020, 11:03:25",-23.12,-134.97,76.75,70,59,7.87,broken clouds,0.0,0.0
carnarvon,au,"04/19/2020, 11:05:51",-24.87,113.63,73.4,78,38,10.29,scattered clouds,0.0,0.0
ushuaia,ar,"04/19/2020, 11:03:16",-54.8,-68.3,44.6,75,75,19.46,drizzle,0.0,0.0
albany,au,"04/19/2020, 11:03:26",42.6,-73.97,61.0,23,1,8.01,clear sky,0.0,0.0
ushuaia,ar,"04/19/2020, 11:03:16",-54.8,-68.3,44.6,75,75,19.46,drizzle,0.0,0.0
sulur,in,"04/19/2020, 11:05:52",11.03,77.13,86.0,58,20,6.93,few clouds,0.0,0.0
albany,au,"04/19/2020, 11:03:26",42.6,-73.97,61.0,23,1,8.01,clear sky,0.0,0.0
chuy,uy,"04/19/2020, 11:03:08",-33.7,-53.46,72.5,63,0,8.7,clear sky,0.0,0.0
port lincoln,au,"04/19/2020, 11:05:53",-34.73,135.87,63.25,74,100,21.52,light rain,0.13,0.0
mataura,pf,"04/19/2020, 11:03:18",-46.19,168.86,44.01,83,93,5.01,light rain,0.54,0.0
torbay,ca,"04/19/2020, 11:03:18",47.67,-52.73,32.0,96,90,34.45,snow,0.0,0.0
vila franca do campo,pt,"04/19/2020, 11:05:54",37.72,-25.43,60.8,67,20,29.97,few clouds,0.0,0.0
geraldton,au,"04/19/2020, 11:05:54",-28.77,114.6,55.4,87,35,6.93,scattered clouds,0.0,0.0
barrhead,ca,"04/19/2020, 11:05:54",55.8,-4.39,55.4,47,0,17.22,clear sky,0.0,0.0
vao,nc,"04/19/2020, 11:05:55",-22.67,167.48,76.24,76,96,20.8,light rain,2.77,0.0
hilo,us,"04/19/2020, 11:05:55",19.73,-155.09,75.0,64,20,6.93,light rain,0.0,0.0
saint-philippe,re,"04/19/2020, 11:05:55",-21.36,55.77,75.2,78,14,14.99,light rain,0.24,0.0
hithadhoo,mv,"04/19/2020, 10:58:14",-0.6,73.08,85.21,74,36,11.39,scattered clouds,0.0,0.0
berea,us,"04/19/2020, 11:05:56",41.37,-81.85,57.0,47,90,17.22,overcast clouds,0.0,0.0
busselton,au,"04/19/2020, 11:05:56",-33.65,115.33,55.99,58,97,14.7,overcast clouds,0.0,0.0
albany,au,"04/19/2020, 11:03:26",42.6,-73.97,61.0,23,1,8.01,clear sky,0.0,0.0
pacific grove,us,"04/19/2020, 11:05:57",36.62,-121.92,57.99,67,90,4.7,overcast clouds,0.0,0.0
mataura,pf,"04/19/2020, 11:03:18",-46.19,168.86,44.01,83,93,5.01,light rain,0.54,0.0
bahar,ir,"04/19/2020, 11:05:57",34.91,48.44,58.01,32,83,4.56,broken clouds,0.0,0.0
impfondo,cg,"04/19/2020, 11:05:58",1.64,18.07,74.95,82,66,2.91,light rain,1.29,0.0
pevek,ru,"04/19/2020, 11:05:43",69.7,170.31,4.23,94,100,5.55,light snow,0.0,0.2
soe,id,"04/19/2020, 11:05:58",-9.86,124.28,66.02,75,26,1.43,scattered clouds,0.0,0.0
cardston,ca,"04/19/2020, 11:05:14",49.2,-113.3,46.38,46,1,9.57,clear sky,0.0,0.0
cabo san lucas,mx,"04/19/2020, 11:05:59",22.89,-109.91,75.0,77,5,4.7,clear sky,0.0,0.0
yellowknife,ca,"04/19/2020, 11:03:17",62.46,-114.35,21.2,67,20,14.99,few clouds,0.0,0.0
gidam,in,"04/19/2020, 11:05:59",18.98,81.4,78.28,51,55,4.07,light rain,0.79,0.0
ushuaia,ar,"04/19/2020, 11:03:16",-54.8,-68.3,44.6,75,75,19.46,drizzle,0.0,0.0
bandundu,cd,"04/19/2020, 11:06:00",-3.32,17.37,72.86,84,78,2.51,broken clouds,0.0,0.0
dikson,ru,"04/19/2020, 11:03:20",73.51,80.55,35.4,88,100,30.65,light rain,0.12,0.0
ushuaia,ar,"04/19/2020, 11:03:16",-54.8,-68.3,44.6,75,75,19.46,drizzle,0.0,0.0
aklavik,ca,"04/19/2020, 11:06:01",68.22,-135.01,15.8,52,75,4.7,broken clouds,0.0,0.0
ponta do sol,cv,"04/19/2020, 11:03:12",32.67,-17.1,66.99,44,24,3.0,few clouds,0.0,0.0
namibe,ao,"04/19/2020, 11:06:01",-15.2,12.15,76.14,62,2,14.14,light rain,0.21,0.0
atuona,pf,"04/19/2020, 10:58:35",-9.8,-139.03,82.45,76,92,15.55,light rain,0.32,0.0
karratha,au,"04/19/2020, 11:05:58",-20.74,116.85,84.04,55,99,3.22,overcast clouds,0.0,0.0
avera,pf,"04/19/2020, 11:06:02",33.19,-82.53,50.0,92,90,9.17,moderate rain,0.0,0.0
batemans bay,au,"04/19/2020, 11:06:02",-35.72,150.18,53.01,100,89,5.88,overcast clouds,0.0,0.0
barrow,us,"04/19/2020, 11:05:02",71.29,-156.79,8.6,84,90,4.7,light snow,0.0,0.0
talara,pe,"04/19/2020, 11:06:03",-4.58,-81.27,79.52,63,17,7.52,few clouds,0.0,0.0
narsaq,gl,"04/19/2020, 11:05:50",60.92,-46.05,32.0,87,20,4.7,few clouds,0.0,0.0
punta arenas,cl,"04/19/2020, 11:03:16",-53.15,-70.92,44.6,65,40,41.38,scattered clouds,0.0,0.0
lucapa,ao,"04/19/2020, 11:06:04",-8.42,20.74,68.47,73,78,1.77,light rain,1.58,0.0
tiksi,ru,"04/19/2020, 11:03:23",71.69,128.87,10.02,86,86,6.93,overcast clouds,0.0,0.0
east london,za,"04/19/2020, 11:06:01",-33.02,27.91,77.58,64,8,18.14,clear sky,0.0,0.0
klaksvik,fo,"04/19/2020, 11:06:05",62.23,-6.59,48.2,76,0,11.41,clear sky,0.0,0.0
playas,ec,"04/19/2020, 11:06:05",-2.63,-80.38,82.54,67,59,7.45,broken clouds,0.0,0.0
ushuaia,ar,"04/19/2020, 11:03:16",-54.8,-68.3,44.6,75,75,19.46,drizzle,0.0,0.0
port hardy,ca,"04/19/2020, 11:06:06",50.7,-127.42,48.2,87,90,3.36,overcast clouds,0.0,0.0
praia da vitoria,pt,"04/19/2020, 11:06:06",38.73,-27.07,64.4,55,40,29.64,scattered clouds,0.0,0.0
torbay,ca,"04/19/2020, 11:03:18",47.67,-52.73,32.0,96,90,34.45,snow,0.0,0.0
port elizabeth,za,"04/19/2020, 11:03:18",-33.92,25.57,71.6,73,2,2.24,clear sky,0.0,0.0
kruisfontein,za,"04/19/2020, 11:06:07",-34.0,24.73,75.02,40,31,8.19,scattered clouds,0.0,0.0
albany,au,"04/19/2020, 11:03:26",42.6,-73.97,61.0,23,1,8.01,clear sky,0.0,0.0
eydhafushi,mv,"04/19/2020, 11:06:08",5.1,73.07,85.95,75,76,10.56,light rain,0.29,0.0
arraial do cabo,br,"04/19/2020, 11:06:08",-22.97,-42.03,78.8,65,40,9.17,scattered clouds,0.0,0.0
ilinskiy,ru,"04/19/2020, 11:06:08",55.62,38.12,37.4,86,40,2.24,scattered clouds,0.0,0.0
ushuaia,ar,"04/19/2020, 11:03:16",-54.8,-68.3,44.6,75,75,19.46,drizzle,0.0,0.0
vila franca do campo,pt,"04/19/2020, 11:05:54",37.72,-25.43,60.8,67,20,29.97,few clouds,0.0,0.0
punta arenas,cl,"04/19/2020, 11:03:16",-53.15,-70.92,44.6,65,40,41.38,scattered clouds,0.0,0.0
isangel,vu,"04/19/2020, 11:03:09",-19.55,169.27,78.89,84,100,16.4,light rain,1.16,0.0
cape town,za,"04/19/2020, 11:03:03",-33.93,18.42,64.0,93,20,20.8,few clouds,0.0,0.0
castro,cl,"04/19/2020, 11:05:50",-24.79,-50.01,73.99,34,2,2.82,clear sky,0.0,0.0
majene,id,"04/19/2020, 11:06:10",-3.54,118.97,77.2,84,90,3.96,light rain,0.81,0.0
arraial do cabo,br,"04/19/2020, 11:06:08",-22.97,-42.03,78.8,65,40,9.17,scattered clouds,0.0,0.0
bredasdorp,za,"04/19/2020, 10:58:28",-34.53,20.04,62.6,82,4,3.36,clear sky,0.0,0.0
digha,in,"04/19/2020, 11:06:11",21.68,87.55,80.02,66,100,8.86,overcast clouds,0.0,0.0
laguna,br,"04/19/2020, 11:06:11",38.42,-121.42,63.0,62,90,10.29,overcast clouds,0.0,0.0
hobart,au,"04/19/2020, 11:03:19",-42.88,147.33,50.0,81,40,10.69,scattered clouds,0.0,0.0
pevek,ru,"04/19/2020, 11:05:43",69.7,170.31,4.23,94,100,5.55,light snow,0.0,0.2
ushuaia,ar,"04/19/2020, 11:03:16",-54.8,-68.3,44.6,75,75,19.46,drizzle,0.0,0.0
puerto ayora,ec,"04/19/2020, 11:04:36",-0.74,-90.35,84.2,74,40,14.99,shower rain,0.0,0.0
ushuaia,ar,"04/19/2020, 11:03:16",-54.8,-68.3,44.6,75,75,19.46,drizzle,0.0,0.0
haines junction,ca,"04/19/2020, 11:03:25",60.75,-137.51,42.67,53,100,4.97,overcast clouds,0.0,0.0
georgetown,sh,"04/19/2020, 11:06:13",5.41,100.34,82.4,94,20,3.36,few clouds,0.0,0.0
perisani,ro,"04/19/2020, 11:06:13",45.38,24.4,54.0,76,40,11.41,light intensity shower rain,0.0,0.0
noumea,nc,"04/19/2020, 11:06:14",-22.28,166.46,79.0,100,90,4.7,light rain,0.0,0.0
puerto ayora,ec,"04/19/2020, 11:04:36",-0.74,-90.35,84.2,74,40,14.99,shower rain,0.0,0.0
turukhansk,ru,"04/19/2020, 11:06:14",65.82,87.98,37.99,75,100,15.46,overcast clouds,0.0,0.0
talnakh,ru,"04/19/2020, 11:06:14",69.49,88.4,39.2,69,100,29.08,light rain,0.35,0.0
karasjok,no,"04/19/2020, 11:06:15",69.47,25.51,39.2,86,75,29.97,broken clouds,0.0,0.0
kenora,ca,"04/19/2020, 11:06:15",49.82,-94.43,30.2,42,75,11.41,broken clouds,0.0,0.0
vozhega,ru,"04/19/2020, 11:06:15",60.47,40.22,29.39,97,7,3.2,clear sky,0.0,0.0
upernavik,gl,"04/19/2020, 11:06:16",72.79,-56.15,24.24,88,63,10.78,broken clouds,0.0,0.0
albany,au,"04/19/2020, 11:03:26",42.6,-73.97,61.0,23,1,8.01,clear sky,0.0,0.0
puerto penasco,mx,"04/19/2020, 11:03:42",31.32,-113.53,69.01,73,38,7.0,scattered clouds,0.0,0.0
lata,sb,"04/19/2020, 11:06:17",40.16,-8.33,61.0,73,9,7.0,clear sky,0.0,0.0
trinidad,co,"04/19/2020, 11:06:17",-14.83,-64.9,86.0,45,1,5.82,clear sky,0.0,0.0
santa maria,cv,"04/19/2020, 11:06:17",-29.68,-53.81,84.2,32,20,5.82,few clouds,0.0,0.0
doha,kw,"04/19/2020, 11:06:17",25.29,51.53,80.01,74,100,10.29,overcast clouds,0.0,0.0
saint george,bm,"04/19/2020, 11:01:45",37.1,-113.58,66.0,50,1,7.94,clear sky,0.0,0.0
sorland,no,"04/19/2020, 11:06:18",67.67,12.69,42.8,87,75,11.41,broken clouds,0.0,0.0
rikitea,pf,"04/19/2020, 11:03:25",-23.12,-134.97,76.75,70,59,7.87,broken clouds,0.0,0.0
avarua,ck,"04/19/2020, 11:02:07",-21.21,-159.78,78.8,78,13,6.93,few clouds,0.0,0.0
victoria,sc,"04/19/2020, 11:01:48",22.29,114.16,77.0,83,45,8.01,scattered clouds,0.0,0.0
rock sound,bs,"04/19/2020, 11:06:19",24.9,-76.2,78.55,80,1,11.92,clear sky,0.0,0.0
kavieng,pg,"04/19/2020, 11:06:19",-2.57,150.8,83.61,71,23,4.18,few clouds,0.0,0.0
hermanus,za,"04/19/2020, 11:03:13",-34.42,19.23,63.0,92,59,1.99,broken clouds,0.0,0.0
san pedro,bz,"04/19/2020, 11:03:24",14.35,121.02,84.2,66,40,6.93,scattered clouds,0.0,0.0
bluff,nz,"04/19/2020, 11:03:26",-46.6,168.33,44.01,83,97,5.01,light rain,1.66,0.0
avarua,ck,"04/19/2020, 11:02:07",-21.21,-159.78,78.8,78,13,6.93,few clouds,0.0,0.0
calabozo,ve,"04/19/2020, 11:06:21",8.92,-67.43,86.41,52,96,4.25,light rain,0.35,0.0
mataura,pf,"04/19/2020, 11:03:18",-46.19,168.86,44.01,83,93,5.01,light rain,0.54,0.0
albany,au,"04/19/2020, 11:03:26",42.6,-73.97,61.0,23,1,8.01,clear sky,0.0,0.0
eucaliptus,bo,"04/19/2020, 11:06:21",-17.58,-67.52,56.32,14,27,3.27,scattered clouds,0.0,0.0
mataura,pf,"04/19/2020, 11:03:18",-46.19,168.86,44.01,83,93,5.01,light rain,0.54,0.0
port alfred,za,"04/19/2020, 11:02:48",-33.59,26.89,77.63,57,20,14.81,few clouds,0.0,0.0
sirsa,in,"04/19/2020, 11:06:22",29.53,75.02,82.54,27,53,5.21,broken clouds,0.0,0.0
tuktoyaktuk,ca,"04/19/2020, 11:05:56",69.45,-133.04,6.8,84,90,14.99,light snow,0.0,0.0
tsarychanka,ua,"04/19/2020, 11:06:23",48.94,34.48,46.65,53,65,6.6,broken clouds,0.0,0.0
busselton,au,"04/19/2020, 11:05:56",-33.65,115.33,55.99,58,97,14.7,overcast clouds,0.0,0.0
kathmandu,np,"04/19/2020, 11:01:28",27.72,85.32,59.0,82,75,2.24,broken clouds,0.0,0.0
san patricio,mx,"04/19/2020, 11:06:24",19.22,-104.7,80.6,65,5,5.82,clear sky,0.0,0.0
khatanga,ru,"04/19/2020, 11:06:24",71.97,102.5,17.4,94,38,4.81,scattered clouds,0.0,0.0
mar del plata,ar,"04/19/2020, 11:03:26",-38.0,-57.56,75.99,57,2,23.04,clear sky,0.0,0.0
castro,cl,"04/19/2020, 11:05:50",-24.79,-50.01,73.99,34,2,2.82,clear sky,0.0,0.0
hobart,au,"04/19/2020, 11:03:19",-42.88,147.33,50.0,81,40,10.69,scattered clouds,0.0,0.0
college,us,"04/19/2020, 11:06:25",64.86,-147.8,45.0,93,90,1.97,overcast clouds,0.0,0.0
victoria,sc,"04/19/2020, 11:01:48",22.29,114.16,77.0,83,45,8.01,scattered clouds,0.0,0.0
itarema,br,"04/19/2020, 11:06:26",-2.92,-39.92,82.78,81,64,6.42,light rain,2.72,0.0
kholodnyy,ru,"04/19/2020, 11:06:26",62.72,147.95,-6.63,78,100,3.31,overcast clouds,0.0,0.0
ponta delgada,pt,"04/19/2020, 11:06:27",37.73,-25.67,60.8,67,20,29.97,few clouds,0.0,0.0
jamestown,sh,"04/19/2020, 11:03:06",42.1,-79.24,51.8,50,75,18.34,broken clouds,0.0,0.0
vaini,to,"04/19/2020, 11:03:09",-21.2,-175.2,77.0,83,20,9.17,few clouds,0.0,0.0
hamilton,bm,"04/19/2020, 11:06:16",39.18,-84.53,54.0,71,90,3.36,light rain,0.0,0.0
port moresby,pg,"04/19/2020, 11:06:28",-9.44,147.18,75.2,100,40,3.36,scattered clouds,0.0,0.0
ketchikan,us,"04/19/2020, 11:06:28",55.34,-131.65,44.6,93,90,13.87,overcast clouds,0.0,0.0
busselton,au,"04/19/2020, 11:05:56",-33.65,115.33,55.99,58,97,14.7,overcast clouds,0.0,0.0
rikitea,pf,"04/19/2020, 11:03:25",-23.12,-134.97,76.75,70,59,7.87,broken clouds,0.0,0.0
atuona,pf,"04/19/2020, 10:58:35",-9.8,-139.03,82.45,76,92,15.55,light rain,0.32,0.0
ushuaia,ar,"04/19/2020, 11:03:16",-54.8,-68.3,44.6,75,75,19.46,drizzle,0.0,0.0
yar-sale,ru,"04/19/2020, 11:04:33",66.83,70.83,33.91,97,100,7.83,light rain,0.13,0.0
darab,ir,"04/19/2020, 11:06:29",28.75,54.54,69.91,32,100,6.93,overcast clouds,0.0,0.0
kodiak,us,"04/19/2020, 11:06:30",57.79,-152.41,42.8,87,75,3.36,broken clouds,0.0,0.0
kuryk,kz,"04/19/2020, 11:06:30",43.2,51.65,57.7,65,93,7.27,overcast clouds,0.0,0.0
kahului,us,"04/19/2020, 11:06:31",20.89,-156.47,72.0,82,1,5.82,clear sky,0.0,0.0
kahului,us,"04/19/2020, 11:06:31",20.89,-156.47,72.0,82,1,5.82,clear sky,0.0,0.0
busselton,au,"04/19/2020, 11:05:56",-33.65,115.33,55.99,58,97,14.7,overcast clouds,0.0,0.0
bredasdorp,za,"04/19/2020, 10:58:28",-34.53,20.04,62.6,82,4,3.36,clear sky,0.0,0.0
cape town,za,"04/19/2020, 11:03:03",-33.93,18.42,64.0,93,20,20.8,few clouds,0.0,0.0
ushuaia,ar,"04/19/2020, 11:03:16",-54.8,-68.3,44.6,75,75,19.46,drizzle,0.0,0.0
ilulissat,gl,"04/19/2020, 11:02:31",69.22,-51.1,28.4,58,52,20.8,broken clouds,0.0,0.0
hasaki,jp,"04/19/2020, 11:03:16",35.73,140.83,48.2,87,75,11.41,light rain,0.0,0.0
